channel,spend_multiplier,weekly_spend,total_revenue,roas
google_brand_search,0.5,13048.46,15314280.51,11.0721
google_brand_search,0.55,14379.94,15314280.51,10.0469
google_brand_search,0.6,15711.42,15314280.51,9.1955
google_brand_search,0.65,17042.89,15314280.51,8.4771
google_brand_search,0.7,18374.37,15314280.51,7.8628
google_brand_search,0.76,19705.85,15314280.51,7.3315
google_brand_search,0.81,21037.32,15314280.51,6.8675
google_brand_search,0.86,22368.8,15314280.51,6.4587
google_brand_search,0.91,23700.27,15314280.51,6.0959
google_brand_search,0.96,25031.75,15314280.51,5.7716
google_brand_search,1.01,26363.23,15314280.51,5.4801
google_brand_search,1.06,27694.7,15314280.51,5.2167
google_brand_search,1.11,29026.18,15314280.51,4.9774
google_brand_search,1.16,30357.65,15314280.51,4.7591
google_brand_search,1.21,31689.13,15314280.51,4.5591
google_brand_search,1.27,33020.61,15314280.51,4.3753
google_brand_search,1.32,34352.08,15314280.51,4.2057
google_brand_search,1.37,35683.56,15314280.51,4.0488
google_brand_search,1.42,37015.03,15314280.51,3.9031
google_brand_search,1.47,38346.51,15314280.51,3.7676
google_brand_search,1.52,39677.99,15314280.51,3.6412
google_brand_search,1.57,41009.46,15314280.51,3.523
google_brand_search,1.62,42340.94,15314280.51,3.4122
google_brand_search,1.67,43672.41,15314280.51,3.3081
google_brand_search,1.72,45003.89,15314280.51,3.2103
google_brand_search,1.78,46335.37,15314280.51,3.118
google_brand_search,1.83,47666.84,15314280.51,3.0309
google_brand_search,1.88,48998.32,15314280.51,2.9486
google_brand_search,1.93,50329.79,15314280.51,2.8706
google_brand_search,1.98,51661.27,15314280.51,2.7966
google_brand_search,2.03,52992.75,15314280.51,2.7263
google_brand_search,2.08,54324.22,15314280.51,2.6595
google_brand_search,2.13,55655.7,15314280.51,2.5959
google_brand_search,2.18,56987.17,15314280.51,2.5352
google_brand_search,2.23,58318.65,15314280.51,2.4773
google_brand_search,2.29,59650.13,15314280.51,2.422
google_brand_search,2.34,60981.6,15314280.51,2.3691
google_brand_search,2.39,62313.08,15314280.51,2.3185
google_brand_search,2.44,63644.55,15314280.51,2.27
google_brand_search,2.49,64976.03,15314280.51,2.2235
google_brand_search,2.54,66307.51,15314280.51,2.1789
google_brand_search,2.59,67638.98,15314280.51,2.136
google_brand_search,2.64,68970.46,15314280.51,2.0947
google_brand_search,2.69,70301.93,15314280.51,2.0551
google_brand_search,2.74,71633.41,15314280.51,2.0169
google_brand_search,2.8,72964.89,15314280.51,1.9801
google_brand_search,2.85,74296.36,15314280.51,1.9446
google_brand_search,2.9,75627.84,15314280.51,1.9103
google_brand_search,2.95,76959.31,15314280.51,1.8773
google_brand_search,3.0,78290.79,15314280.51,1.8454
google_display_pmax,0.5,8852.32,5954153.35,6.3454
google_display_pmax,0.55,9755.61,5954153.35,5.7578
google_display_pmax,0.6,10658.91,5954153.35,5.2699
google_display_pmax,0.65,11562.21,5954153.35,4.8582
google_display_pmax,0.7,12465.51,5954153.35,4.5061
google_display_pmax,0.76,13368.8,5954153.35,4.2017
google_display_pmax,0.81,14272.1,5954153.35,3.9357
google_display_pmax,0.86,15175.4,5954153.35,3.7015
google_display_pmax,0.91,16078.7,5954153.35,3.4935
google_display_pmax,0.96,16981.99,5954153.35,3.3077
google_display_pmax,1.01,17885.29,5954153.35,3.1406
google_display_pmax,1.06,18788.59,5954153.35,2.9896
google_display_pmax,1.11,19691.89,5954153.35,2.8525
google_display_pmax,1.16,20595.18,5954153.35,2.7274
google_display_pmax,1.21,21498.48,5954153.35,2.6128
google_display_pmax,1.27,22401.78,5954153.35,2.5074
google_display_pmax,1.32,23305.08,5954153.35,2.4103
google_display_pmax,1.37,24208.37,5954153.35,2.3203
google_display_pmax,1.42,25111.67,5954153.35,2.2369
google_display_pmax,1.47,26014.97,5954153.35,2.1592
google_display_pmax,1.52,26918.27,5954153.35,2.0867
google_display_pmax,1.57,27821.56,5954153.35,2.019
google_display_pmax,1.62,28724.86,5954153.35,1.9555
google_display_pmax,1.67,29628.16,5954153.35,1.8959
google_display_pmax,1.72,30531.46,5954153.35,1.8398
google_display_pmax,1.78,31434.75,5954153.35,1.7869
google_display_pmax,1.83,32338.05,5954153.35,1.737
google_display_pmax,1.88,33241.35,5954153.35,1.6898
google_display_pmax,1.93,34144.65,5954153.35,1.6451
google_display_pmax,1.98,35047.94,5954153.35,1.6027
google_display_pmax,2.03,35951.24,5954153.35,1.5624
google_display_pmax,2.08,36854.54,5954153.35,1.5241
google_display_pmax,2.13,37757.84,5954153.35,1.4877
google_display_pmax,2.18,38661.13,5954153.35,1.4529
google_display_pmax,2.23,39564.43,5954153.35,1.4197
google_display_pmax,2.29,40467.73,5954153.35,1.3881
google_display_pmax,2.34,41371.03,5954153.35,1.3577
google_display_pmax,2.39,42274.32,5954153.35,1.3287
google_display_pmax,2.44,43177.62,5954153.35,1.3009
google_display_pmax,2.49,44080.92,5954153.35,1.2743
google_display_pmax,2.54,44984.22,5954153.35,1.2487
google_display_pmax,2.59,45887.52,5954153.35,1.2241
google_display_pmax,2.64,46790.81,5954153.35,1.2005
google_display_pmax,2.69,47694.11,5954153.35,1.1777
google_display_pmax,2.74,48597.41,5954153.35,1.1558
google_display_pmax,2.8,49500.71,5954153.35,1.1348
google_display_pmax,2.85,50404.0,5954153.35,1.1144
google_display_pmax,2.9,51307.3,5954153.35,1.0948
google_display_pmax,2.95,52210.6,5954153.35,1.0759
google_display_pmax,3.0,53113.9,5954153.35,1.0576
google_nonbrand_search,0.5,13041.63,8079742.2,5.8447
google_nonbrand_search,0.55,14372.41,8079742.2,5.3035
google_nonbrand_search,0.6,15703.19,8079742.2,4.854
google_nonbrand_search,0.65,17033.97,8079742.2,4.4748
google_nonbrand_search,0.7,18364.75,8079742.2,4.1506
google_nonbrand_search,0.76,19695.53,8079742.2,3.8701
google_nonbrand_search,0.81,21026.3,8079742.2,3.6252
google_nonbrand_search,0.86,22357.08,8079742.2,3.4094
google_nonbrand_search,0.91,23687.86,8079742.2,3.2178
google_nonbrand_search,0.96,25018.64,8079742.2,3.0467
google_nonbrand_search,1.01,26349.42,8079742.2,2.8928
google_nonbrand_search,1.06,27680.2,8079742.2,2.7537
google_nonbrand_search,1.11,29010.98,8079742.2,2.6274
google_nonbrand_search,1.16,30341.76,8079742.2,2.5122
google_nonbrand_search,1.21,31672.53,8079742.2,2.4066
google_nonbrand_search,1.27,33003.31,8079742.2,2.3096
google_nonbrand_search,1.32,34334.09,8079742.2,2.2201
google_nonbrand_search,1.37,35664.87,8079742.2,2.1372
google_nonbrand_search,1.42,36995.65,8079742.2,2.0603
google_nonbrand_search,1.47,38326.43,8079742.2,1.9888
google_nonbrand_search,1.52,39657.21,8079742.2,1.9221
google_nonbrand_search,1.57,40987.99,8079742.2,1.8597
google_nonbrand_search,1.62,42318.76,8079742.2,1.8012
google_nonbrand_search,1.67,43649.54,8079742.2,1.7463
google_nonbrand_search,1.72,44980.32,8079742.2,1.6946
google_nonbrand_search,1.78,46311.1,8079742.2,1.6459
google_nonbrand_search,1.83,47641.88,8079742.2,1.5999
google_nonbrand_search,1.88,48972.66,8079742.2,1.5565
